"Victimisation rates(a), Selected offences by states and territories, 1993–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offence,1993,1994,1995,1996,1997,1998,1999(b),2000,2001,2002,2003,2004,2005,2006,2007(c),2008(d),2009(e)(f),2010(g)(h),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Attempted murder,1.0,1.6,1.2,1.4,1.2,1.3,0.4,0.7,0.9,1.2,1.0,1.4,0.8,0.7,0.4,0.4,0.4, 1.0 , 0.5 , 0.5 , 0.3 , 0.2 , 0.5 ,0.7,0.5,0.7,0.5,1.0,0.7,0.4,0.5
Manslaughter,0.8,0.5,0.5,0.2,0.5,0.3,0.4,0.9,0.5,0.2,0.7,0.2,0.6,0.5,0.2,0.2,0.2, 0.2 , 0.4 , 0.3 , 0.1 , 0.1 , 0.2 ,0.5,0.3,0.2,0.2,0.2,0.4,0.3,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault(j),np,np,633.2,698.1,767.1,778.7,767.6,752.3,796.3,792.3,784.9,923.0,"1,013.7","1,071.0","1,018.1",973.6,980.5, 913.4 , 917.7 , 953.2 ," 1,017.6 ", 992.8 ," 1,155.2 ","1,261.8","1,187.9","1,151.0","1,185.4","1,283.3","1,348.8","1,389.7","1,486.4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault(q),75.1,80.7,102.5,99.4,89.7,82.7,83.8,81.5,88.3,83.8,71.1,83.0,89.1,88.9,94.5,84.4,76.4, 72.2 , 69.3 , 73.1 , 73.4 , 77.1 , 79.2 ,84.4,105.8,111.0,105.6,114.4,132.9,113.3,119.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction,2.1,2.6,1.8,3.2,2.2,3.8,2.5,2.5,2.4,1.9,1.7,1.4,0.9,2.2,1.9,1.4,1.1, 0.8 , 0.9 , 1.0 , 0.8 , 0.9 , 1.1 ,1.1,0.8,0.3,0.9,0.6,0.5,0.9,0.7
,Tasmania(r),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(i),2.5,2.5,3.0,12.8,2.3,3.6,1.5,3.2,4.2,1.9,2.5,2.7,2.9,1.4,2.2,0.6,2.4,1.2,2.2,2.0,2.5,2.3,1.6,2.3,1.0,1.3,1.3,0.6,2.0,2.1,1.4
Murder,1.5,0.6,1.9,8.0,1.3,1.3,0.8,2.1,2.3,1.5,1.3,0.8,1.2,0.8,1.6,0.6,1.4,1.2,1.2,1.8,1.6,1.2,0.6,1.7,0.6,0.0,0.7,0.6,0.9,1.0,1.0
Attempted murder,0.0,1.5,1.9,4.8,0.0,1.1,1.1,1.9,2.3,0.8,1.5,1.2,0.6,1.2,1.4,0.0,0.6,1.2,0.6,0.6,0.6,0.8,0.0,1.0,0.6,0.9,0.6,0.0,0.7,1.2,0.7
Manslaughter,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault(j)(s),np,np,430.1,466.6,416.9,471.9,542.5,574.9,735.7,769.2,787.2,822.5,935.8,842.0,823.3,749.1,700.5,np,np,np,np,536.2,569.2,568.9,611.2,616.3,629.5,632.5,660.1,661.7,712.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault,27.3,29.4,34.1,34.3,41.9,45.4,41.2,40.4,43.7,52.9,57.7,60.8,54.7,60.9,51.1,39.5,28.2,34.8,28.9,24.0,36.5,44.2,36.1,41.2,40.8,37.7,39.5,56.8,91.1,100.8,102.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction,2.8,4.2,0.0,0.8,0.6,2.5,0.0,2.1,3.0,2.3,0.6,1.9,1.2,1.0,0.6,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.5,0.7
,Northern Territory(t),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(i),14.0,6.3,14.5,15.2,8.4,10.4,8.7,13.6,10.9,16.3,8.9,13.8,13.6,11.0,10.8,12.3,7.1, 11.8 , 5.6 , 8.9 , 10.3 , 5.4 , 6.5 ,3.3,3.2,3.6,4.5,4.9,5.3,6.0,4.4
Murder,8.2,5.1,13.4,8.1,4.7,8.8,5.1,7.5,7.4,6.9,5.9,7.9,6.8,4.3,5.6,6.4,6.2, 4.8 , 3.5 , 8.9 , 7.0 , 3.7 , 4.1 ,0.0,1.6,2.0,4.1,1.2,1.2,2.4,2.0
Attempted murder,4.7,1.7,1.7,4.9,1.6,2.6,1.5,3.0,0.0,5.9,1.5,0.0,2.4,1.9,1.4,1.8,4.0, 7.4 , 1.3 ,0.0,0.0, 1.2 , 1.2 ,1.2,0.0,0.0,0.0,2.0,3.3,0.0,0.0
Manslaughter,2.9,0.0,0.0,1.6,0.0,0.0,1.5,0.0,1.5,4.4,4.0,4.4,7.8,3.3,1.4,1.4,0.0, 1.3 ,0.0, 1.7 , 2.5 ,0.0, 2.0 ,0.0,0.0,0.0,0.0,1.2,1.2,2.4,0.0
